,Tweets
0,JudicialWatch: “I was concerned because I saw Biden talking about wanting a national security review of ElonMusk! One has to wonder if…
1,"This is her totally, elonmusk keep vigilant 🙏🏻 "
2,alexbruesewitz elonmusk The corruption is so obvious at this point - it would be laughable if it weren’t so terrifying. Where are all the people who spent ‘16-‘20 screeching about an authoritarian regime?
3,"TomFitton elonmusk nytimes How does McConnell keep getting elected, especially as Leader?"
4,"If true, why elonmusk? "
5,ChefRich_808: elonmusk COLDEX_STC SpaceX NSF blueicehiggins icy_pete US_IceDrilling OSUCEOAS Princeton GeosciencesPU OregonS…
6,"tp_bugg: Will a bigest Pump 🚀🚀 on BUGG 🚀
Don’t miss out on this opportunity BUGG_Finance 

Buy BUGG 📎
✅

✅http…"
7,sethweathers: elonmusk If you see this - will you like or retweet my post above so elonmusk will notice it and free my ads account? 😁
8,RudyGiuliani elonmusk Shouldn't you be focused on trying to keep your Bar license and staying out of jail?
9,"namanchayy lion_4_zion quimer4 SarahLGates1 StopAntisemites elonmusk not only are you rude, you clearly have no knowledge of history! 😂"
10,GerberKawasaki If elonmusk cared more about T$LA shareholders then he’d have a PR dept to manage the FUD.
11,"DonaldJTrumpJr: While we’re at it elonmusk, can we get something similar to this Hunter Biden laptop post-mortem for what Twitter was…"
12,"PROTECT Elon Musk - Donald Trump  via YouTube 
elonmusk"
13,"elonmusk Also here's another interesting article from the NIH website. 
"
14,elonmusk A New Arc!
15,"anItalianFox Reuters rachael_levy specialreports neuralink NIH I trust elonmusk except on twitter! 

Other companies too had electric cars before Tesla and space craft before SpaceX and solar products before TeslaSolar and money apps before PayPal, and he simply obliterated them in success. neuralink will be a life-saver! Teething!"
16,"elonmusk Stay strong, Elon. Praying for you..."
17,"LOL: KJP Responds To Elon Musk Twitter BOMBSHELLS dronetek elonmusk Twitter 

- Dronetek 

"
18,LacysLoveCavemn RalfusJ SteveHiltonx elonmusk Twitter is a private platform tho? This is just business. Are you a communist?
19,JeanHubertSan JayCarp17841673 10barclayt limabean9412 ClayTravis elonmusk Twitter nytimes CNN MSNBC reality? a hype rumor outrage machine is reality?
20,"baglino elonmusk Drew and Elon, can a new EV company use Tesla's chassis and battery system for their vehicles?"
21,celineInBC babe_freedom elonmusk FoxNews One day the truth will come out. Fortunately it wont be too much longer.
22,"TheSonuKazi cageddino elonmusk WholeMarsBlog That must be why it’s still illegal in most countries. 

Cos it’s SO safe."
23,"RedSurfer1000 jennelizabethj StPaulForBernie mtaibbi Twitter elonmusk No, they are not &amp; no it is not. 

You are coming to that conclusion yourself. They explained everything in their thread. They literally said ""transparency = journalistic integrity."" No specific negative factor was settled on. General Transparency is the ""must have."""
24,jade_angelkiss elonmusk A beautiful soul.
25,"elonmusk Ofcourse, did you not think they returned? To them money is more important then ideology every time, don't forget that, they need you more then you need them."
26,JoJoFromJerz elonmusk WholeMarsBlog Just like a man can’t become a woman 
27,"AlienSquidCoin: Ready??? Mission ""Moon"" starts soon!!! 🛸🛸🛸🌕🌕🌕👽👾

BNB BSC BSCGemsAlert Binance BTC Bitcoin ETH Ethereum Elonmus…"
28,elonmusk You’ve made it a hot bed of Conspiracy theorist.
29,TomFitton elonmusk Twitter Biden Whitehouse makes astute factually true observation
30,"AlienSquidCoin: Ready??? Mission ""Moon"" starts soon!!! 🛸🛸🛸🌕🌕🌕👽👾

BNB BSC BSCGemsAlert Binance BTC Bitcoin ETH Ethereum Elonmus…"
31,"CKellyUAP: Mainstream media is dying

Ratings falling, Revenue going, Credibility gone ‼️

Sell your shares, get rid of your TV antenna…"
32,"DineshDSouza: Much as I LIKE my Apple iPhone, I don’t NEED an Apple iPhone. But I do need freedom of speech. We all do, if this countr…"
33,JohnJHarwood MoElleithee elonmusk Weird ads. I block all ads no matter what.
34,SteveHiltonx elonmusk You missed the part where both campaigns were working with Twitter.
35,THAT_oonnee_GUY Carpecynthia dawa_lion MotherOfCats007 SohailVibes elonmusk C19 shots are NOT a vaccine
36,Georgia voters head to polls in Warnock-Walker Senate runoff – live -  - USPolitics ElonMusk Biden UkraineRussiaWar
37,CNBC It’s amazing how they attack elonmusk for influencing the market but this guy has been literally doing it for years. Making 💴 🖐️ over  🤜
38,"CSojourner: I can't like your tweets again today, Mutuals, because ElonMusk is still punishing me for I know not what, but I do like a…"
39,elonmusk Thanks  for doing what you’re doing never went on twitter before you bought it
40,RudyGiuliani elonmusk We knew it all along.  So now we got a stolen Presidential seat occupied by a traitor.
41,MoElleithee elonmusk So why the F are you on Twitter? 🤷🏾‍♂️
42,COLDEX_STC elonmusk SpaceX NSF blueicehiggins icy_pete US_IceDrilling OSUCEOAS Princeton GeosciencesPU OregonState UMNews Looks too indoorsy....brrrrrrrrr....
43,"elonmusk right, when are the next interesting posts?"
44,Cocochaneladair celestevilnueva elonmusk davidgokhshtein He deleted the tweet.
45,muskQu0tes: “I am selling almost all physical possessions. Will own no house.” elonmusk
46,"michaeljburry Well, as long as elonmusk has your trust."
47,"filipprl: Now that elonmusk stepped forward with the unmasking of the criminal political class in the United States, the question is:…"
48,"Exactly what tinubu enemies did, editing wikipedia jus to create doubt about his age but God shame them all "
49,christina_bobb KariLake elonmusk I have seen it on others. Saboteurs are still in the Twitter ranks.
50,_MCP_signals: Who will be the next😱??? cz_binance or elonmusk or someone else???
51,"elonmusk MuskUniversity Besides some basic facts, the Wikipedia is not a source of information you can trust, it is leftists-controlled resource."
52,_MCP_signals: Who will be the next😱??? cz_binance or elonmusk or someone else???
53,"darknessride DouglasPaul1962 KellyDem4Life ThisIsKyleR elonmusk GOP I wont. Because I wont cross state lines with an assault weapon to antigonize protesters in the hope I get to shoot someone as ""self defense"""
54,"TOPDOGE007: ChatGPT recently posted a poem about Dogecoin and ElonMusk just LIKED it. 

I think he’s trying to tell us something 👀 ht…"
55,_MCP_signals: Who will be the next😱??? cz_binance or elonmusk or someone else???
56,"CKellyUAP: Mainstream media is dying

Ratings falling, Revenue going, Credibility gone ‼️

Sell your shares, get rid of your TV antenna…"
57,UrbanShrink elonmusk Hiding your age Shrink?
58,"elonmusk WholeMarsBlog The left: “Musk spent 44 Billion on Twitter and he’s the worst tyrant in the world.”
Also the left: “Give up your technology for free.” 😂 What an insufferable bunch."
59,"What's our planets magnetic field in Tesla + The amount of Tesla cars?
.elonmusk"
60,"SomeRawLime LayahHeilpern elonmusk Elon said you can't question events with mass death like the holocaust, 9/11, or Sandy Hook.

Bush didn't do 9/11 but the responsible party rhymes with ""you know who...""

They just happened to be there ""to film the event"""
61,"Jennie_SC1 MurphyYuiko michellmybell1 BidenTour CivilLost odktiger FemmeVoilet cl1ntonserver TomDoubting RealDoctorT 42Gnome _Kel_Varnsen_ Mentor2TheGods kimmsue70 1717mule TreatHunterDog JackWhoElse lemmabarkaloo TastyMorsel6 ADirtyRottenDog 429jamesowens SnoJusticeCuz MaxDragonard instinctnaturel MucusMucous Timeforfreespe1 theProgEqualist JenCages shrekvivre cow_cousin RepublicanRehab MyChickenDinner VtTbQW9s3xjPOow TwoSides1Truth SomeSis1 pookietooth LadyOfTheOcean1 SnoJusticeBro Aimhighffw UtsingerWesley DigiMalice ADouble777 schmevilagain absurd_dad CosmicIndiffer1 Q_Estrada scary_brock jaybento4 MiaZingg elonmusk And we'd have less of this👇
"
62,LuckyButtysTips totweettoodrunk MelinaDayan francoboca mehdirhasan elonmusk MehdiHasanShow The point is you have to take on faith either statement.
63,"elonmusk Everytime I click the ""not interested in this tweet"" button for tweets I'm not interested in, somehow they find their way back to my fyp 🤦😭"
64,"tomcat54156075: BabyFloc My meme

BabyFloc
1goonrich
cz_binance
elonmusk
VitalikButerin
OfficialTravlad

babyFLOC "
65,elonmusk Too bad he isn't alive to see what you're doing. Your SpaceX is your Magnum Opus
66,elonmusk karpathy What is biological compute and how is it measured?
67,NEWSMAX Dang elonmusk is causing earthquakes all over the social media world for change.
68,WholeMarsBlog RealDanODowd elonmusk What lead to this? Unseen settlements?
69,MrAndyNgo Just Wow! Is there another planet I can move to yet? elonmusk please help.
70,rTransparentMar elonmusk ryancohen GameStop GameStopNFT BDonnellyarch fix this shit elonmusk
71,elonmusk can we please do away with the fight videos where kids are involved. Adults? Okay. But no kids.
72,"EVargasTV That's because elonmusk unleashed free speech. And Democrats have lost followers because the majority of Americans actually LIKE America. 

I didn't see you liberals crying when people were getting banned for stupid reasons. All of a sudden, you're the victim

Get off Twitter."
73,JosephV64384697: Let That Be A ….. RealJamesWoods 🌟🌟🌟🌟🌟🇺🇸elonmusk 🌟🌟🌟🌟🌟🇺🇸 WitmerCarl Booker10038 bobsacard LouTelano ThomasPKenn…
74,"JudicialWatch TomFitton elonmusk elonmusk needs some type of surveillance so that if he is harmed, a trusted person can access footage &amp; release if needed. Unfortunately, they use gangs (like Seth rich) to do dirty work. 

Or maybe Elon has a dead man’s switch? 

Idk, but he’s the hope for change we need"
75,"ScottFantasy elonmusk POTUS If you're a traitor, I hope they are."
76,ThatDudeAero: DynamoInsider_2 HoustonDynamo Yo elonmusk free my boy
77,elonmusk Such an important contribution to society bahahahah what are you even doing
78,elonmusk Sounds good 😊E😊L😊O😊N😊
79,"Sisay34690879: 🇪🇹 has shut down the internet at least 22 times since 2016, The blackout affecting Tigray “is the world’s longest uninte…"
80,BargaTag block_chain69 LayahHeilpern elonmusk Let’s see the time will Come then see who is what .. whatever people saying to other they are that  person that’s why they using for others these type word 👍👍🙏🇮🇳
81,elonmusk Once You Verify My RealID*. That Will Link My Old Twitter Account That Has Golden Eagle Inc. Tweets! Or Is That The Issue?? POTUS VP EMDCMaine
82,Prove this wrong elonmusk 
83,RichardGrenell: Imagine winning a Pulitzer for a fake news story you fell for - and then ignoring the elonmusk revelations that your e…
84,Discoveringme40 elonmusk Yep.. he should be fired
85,"elonmusk  how crazy is this sink up Elon
"
86,DonaldJTrumpJr: There are more people on Twitter condemning elonmusk for trying to prioritize free-speech then there are condemning Ch…
87,elonmusk SpaceX Nation?
88,"60% of them are about Hunter Biden's schlong, Elon. It's getting a bit old. "
89,TomFitton elonmusk Twitter old news people want to voice what they want stop trying to silence free speach
90,elonmusk Amen and thank you
91,"Moon_River05 Twitter TwitterSupport elonmusk In spite of my staunch pro 2A position, I consider female empowerment one of my core values as a Therapist, when working with women."
92,BiroNower elonmusk Has it really Niro
93,elonmusk: Halloween with my Mom 
94,"thepines12 EVargasTV Same right?!?!?  What the hell is going on elonmusk?

I really couldn’t care less about these people."
95,"Ilovemilkandmo1 lion_4_zion quimer4 SarahLGates1 StopAntisemites elonmusk The German word is made up of two different words haken and cruez which simultaneously means hooked and cross .
Now tell me how it got translated as swastika ?"
96,"ButtonAMC: AMC has more than 10 BILLION synthetic shares sold short.  SECGov Knows this. Hands down,  the largest case of financial f…"
97,elonmusk RubinReport We no longer have real journalists within the MSM. They’re just mouthpieces for the Democrats &amp; RINOS.😒 
98,"AndiCHALKTALK BryanLegendCEO WBSglobalseries 🧐ElonMusk plans to launch TwitterPayment? 

So let us guess what will happen to $ELON?

You can now trade $ELON in  BitKeep with a low gas fee!

Moreover, more than 250K tokens and 1M NFTs also can be traded in BitKeep!

🤳Follow up on BitKeep now &gt;&gt; "
99,SteveHiltonx elonmusk Typical
100,"ElonMusk 
The Boring Company 
Elon Musk’s Boring Company Ghosts Cities Across America 
"
101,"ElonMusk 
Neuralink 
Musk’s Neuralink faces federal probe, employee backlash over animal tests 
"
102,"ElonMusk 
TwitterTakeover 
 Boston marketing firms urge clients to stop advertising on Twitter 
"
103,ShookTroy _Lia27 elonmusk That was a joke..
104,LayahHeilpern elonmusk Not any more
105,"elonmusk WholeMarsBlog Some will buying cars,im happy buying food.."
106,"DrPimKe MattWallace888 Lol... elonmusk knows what it is, fugazi.... It's all a game.... You make a name, and you can manipulate that fugazi just like play dough."
107,DimaZeniuk SpaceX elonmusk Cool 😎 💯
108,"muskQu0tes: ""Make Babies, Not War"" - elonmusk"
109,"elonmusk Yes, especially full of hate and racism."
110,elonmusk Big fan of uh Elon musk's Broo Uhh r Soo Good
111,"Jmillwood77 havocs_oddworld FonsDK elonmusk mayemusk freshjiva WholeMarsBlog SawyerMerritt TeslaBoomerMama CPAinNYC farzyness EmmetPeppers jasondebolt 

Based on the increasing trend &amp; growing infrastructure, it seems by 2040 the majority of new cars will be electric"
112,"MattWallace888 alx elonmusk wikileaks All of them? How positively ground-breaking. These revelations will send shockwaves through communities that ... well, have never felt shockwaves.

SHOCKWAVES I tell you! We will never be the same! "
113,"qcapital2020: Hey elonmusk ,
Can you suspend Jim Cramer ? He’s impersonating a successful investor. 
Thanks, 
From everyone"
114,elonmusk Good Morning Elon. Stay Awesome Stay Free. Saw this today. 
115,race45race elonmusk etcommunityeth $ET to the MUTHAFACKIN MOON 🌙 etcommunityeth
116,JungleTwittter elonmusk That's disgusting and that judge needs to go to hell
117,"Dear SantA ( elonmusk )
All
I
Totally
Want
For
Christmas 🔴🟢
Is
To
Please 
Bring
Periscope 
Back
To
TwittOr 
Please 😊
Thank-U
Your Friend,
BCKNBLK2 
MERRY CHRISTMAS 
♥️🎄🎁 🥛🍪🍪🍪🍪🍪🍪🍪🍪"
118,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
119,"I just have to say that I consider elonmusk a true American hero and Patriot.  We'd certainly be in a deeper hole and one that we'd likely not be able to climb out of without his intervention.  God bless you Elon!  Keep the hits coming...
PatriotMusk"
120,Sniping_Soup: elonmusk MrBeast I have aids
121,"WTF elonmusk I land on someone else' page when I show up here now &amp; NO NOTIFICATIONS 4 the BLASTS at your face? Really? WTF, dude? 
U have RUINED twitter 4 all but GOP 
U kept it 4 people who want 2 rape children. 
Child rapists r your peers, Elon. 

SICK"
122,"leeadamson2009 elonmusk *mouth 🤦‍♂️

(where is the correction function while we're at it?)"
123,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
124,"Elon Musk suggests Sam Bankman-Fried should go to prison, saying he needs an 'adult timeout in the big house' FTX Elonmusk financesharkcal "
